"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro"," P7: Dinheiro.","ctid:461","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P5: Bens materiais.","ctid:464","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P3: Dinheiro e poder.","ctid:468","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P1: Dinheiro, poder e estabilidade.","ctid:470","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro"," P8: Não, acho que a riqueza pode ser o conjunto do seu patrimônio material, aquilo que você trabalhou ou herdou. E aí dentro desse conjunto é o que você tem ali, de seus bens financeiros, dinheiro no caso","ctid:473","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P8: É, são os recursos materiais. ","ctid:474","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P7: É, mas eu acho, assim... É relativo porque a riqueza ela tá diretamente relacionada com o custo, né? Eu tinha professores que falavam assim: “Você recebe quanto? 3 mil, né? E eu recebo 30. Você quer minhas dívidas de 30? E você me dá suas dívidas de 3?”. Porque também o consumo está relacionado com o ganho. Nem sempre é direto. Exatamente, aí às vezes você pode ter uma renda alta e um consumo tão alto quanto isso e não ser considerado rico.","ctid:479","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P2: O custo de vida ser alto. Eu acho que é uma junção do que os dois falaram. Seria uma junção dos dois. Pega muito nessa parte do custo de vida da pessoa. Quanto mais a pessoa recebe, mais ela vai ter um custo e um padrão de vida melhor. Então, fica nesse...","ctid:481","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P4: Assim, vem muito na minha cabeça a independência financeira. A independência financeira eu vejo como, assim... É o que ela falou, você não precisa se preocupar, você tem o suficiente para você sobreviver e sobreviver bem. Você não tá preocupado que você vai ter uma conta que tá atrasada para você pagar no dia seguinte... ","ctid:483","01 Riqueza material","","00 Riqueza"
"Grupo 3 - Classe Média - Todos - 28-05-2024.docx","Pedro","P4: // Você pode ter um custo de vida mais alto, mais elevado, mas de repente é um estilo de vida com conforto. Você não tá preocupado, você vai ter o que comer, assim, você vai ter o que comer, fato, aquilo tá garantido, né? No dia seguinte, você vai ter um lugar para morar, uma residência digna. Então, isso tá garantido também. Então, eu acho que depende muito para quem a gente pergunta. A riqueza é relativa.","ctid:486","01 Riqueza material","","00 Riqueza"
