"File","Coder","Coded","Id","Codename","Coded_Memo","Category"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P1: Um termo bom... Você falou que dinheiro não compra saúde. A minha mãe, ela operou recentemente, assim, tem mais ou menos uns 5 anos atrás que a minha mãe operou. O que aconteceu com ela? A minha mãe saiu do Rio, fomos a São Paulo para fazer a cirurgia dela. Não passamos pelo hospital público direto, nós passamos pelo particular e do particular ela foi encaminhada para o público. A minha mãe fez uma cirurgia de quase 100 mil reais de graça. Por que? Pelo público.","ctid:1824","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P7: Quando você entra numa loja. Quando você entra numa loja, você vê por ali o tipo de tratamento. Você chegar… A pessoa posturada, na beca, tal, aí o vendedor já te… Dependendo do vendedor, tem vendedor… Eu já fui vendedora. Que te olha com um olhar mais [inc.]. Eu sou muito comunicativa, sempre fui, então, tipo, eu trato todo mundo sem diferença. Do rico ao pobre. Então… Mas tem vendedores que não existe disso, entendeu? Você chega em uma loja e eles te olham tipo assim: “Ah, ela não vai comprar nada”. Você pode estar com o cartão emprestado, mas você vai comprar, você não sabe... //","ctid:1832","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P7: Já aconteceu isso comigo. Eu fui comprar um celular e tipo eu tava… Saí do trabalho, fui correndo, eu e meu ex-marido. A gente chegou lá, tipo, a mulher chegou e tratou a gente com a maior indiferença. Eu tava com muita dúvida no celular, aí eu: “Não, eu queria ver esse. Mas esse aqui tem o que de diferente desse?”. E a mulher cagando para a gente. Aí um outro vendedor viu que a gente tava lá ainda... Aí eu não ia levar daquela loja, mas o outro vendedor veio e teve muito... //","ctid:1833","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P7: // Aí eu fui lá… Aí meu ex-marido falou assim: “Vai levar daqui?”. Eu falei: “Não, vamos levar daqui, ela foi tão legal, né, foi tão cortês.” Tipo, foi lá, pegou, fez, aconteceu.","ctid:1834","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P2: Mas aí eu acho que não tem nada a ver com riqueza essa questão de tratamento e atendimento. Eu trabalho em eventos e para gente da sociedade e tal, pontos bem localizados, e todos eles são tratados da mesma forma, entendeu? Eu acho que a questão de tratar um cliente de maneira diferente, por achar que ele tem um poder de compra maior, é um erro de quem tá fazendo. Do atendente. Não é do cara rico. O cara rico, ele vai chegar… Muitas das vezes ele vai te dar um bom dia ou não vai como um cara pobre, né. Isso aí já é a educação dele, entendeu? Acho que não é…","ctid:1837","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P4: // Não. Eu penso… Eu sou CLT e eu trabalho com duas coisas... //","ctid:1841","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P4: // Eu trabalho com dois tipos de trabalhos diferentes. Eu trabalho de CLT, que eu sou comandada por uma dona. E trabalho por minha conta que é o que a gente estava falando, tenho que trabalhar muito mais porque é o meu negócio. Quando você trabalha para alguém, esse alguém, no meu caso, ela veio da Alemanha, é uma pessoa que nasceu em berço de ouro. Então ali eu vejo que, infelizmente, tem a diferença... As pessoas que vem de berço de ouro. Tem umas que te tratam bem e tem outras que aproveitam, por ser dona do próprio negócio, para impor algumas coisas para o funcionário. E aí o funcionário, alguns, são topetudos e vão encarar, vão bater de frente. Outros não. Outros vão se submeter a falar sim para aquilo ali porque aquela pessoa tem mais poder financeiro que ela. E tem medo de ficar desempregado e não poder pagar aluguel, não poder cuidar dos filhos... //","ctid:1842","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P4: // A verdade é que hoje em dia às vezes uma pessoa só tem uma renda. Então ela nunca vai bater de frente com aquela pessoa que tá pagando a renda dela. Entendeu? Então são… Eu vivi isso, por isso que tô falando. Eu fui a única numa empresa, numa clínica, que batia de frente com [inc.]. Mas aí não é todo mundo. As pessoas… Elas falaram para mim: “Eu tenho medo, não vou fazer isso”.","ctid:1843","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P4: Não, eu digo assim, ele falou para expor. Eu, no meu caso, a minha experiência é com uma pessoa que tem uma grana, nasceu num berço de ouro, veio da Alemanha… Então, assim, para mim ela usa isso… //","ctid:1844","Experiência","","8 Referências"
"Grupo 11 - Pobres - Misto - DIreita - 25-11-2024.docx","Ingrid","P3: Então, em lugares. Eu já viajei muito, então já conheci diversos tipos de pessoas. Então… Não dá para você, pôr uma determinada classe, você trancar ela em determinado… Em determinada sala. É bem… É muito mais expansivo que isso. ","ctid:1845","Experiência","","8 Referências"
